"research_development_spent","administration","marketing_spent","state_usa","profit"
"165349.2","136897.8","471784.1","New York","192261.83"
"162597.7","151377.59","443898.53","California","191792.06"
"153441.51","101145.55","407934.54","Florida","191050.39"
"144372.41","118671.85","383199.62","New York","182901.99"
"142107.34","91391.77","366168.42","Florida","166187.94"
"131876.9","99814.71","362861.36","New York","156991.12"
"134615.46","147198.87","127716.82","California","156122.51"
"130298.13","145530.06","323876.68","Florida","155752.6"
"120542.52","148718.95","311613.29","New York","152211.77"
"123334.88","108679.17","304981.62","California","149759.96"
"101913.08","110594.11","229160.95","Florida","146121.95"
"100671.96","91790.61","249744.55","California","144259.4"
"93863.75","127320.38","249839.44","Florida","141585.52"
"91992.39","135495.07","252664.93","California","134307.35"
"119943.24","156547.42","256512.92","Florida","132602.65"
"114523.61","122616.84","261776.23","New York","129917.04"
"78013.11","121597.55","264346.06","California","126992.93"
"94657.16","145077.58","282574.31","New York","125370.37"
"91749.16","114175.79","294919.57","Florida","124266.9"
"86419.7","153514.11","0","New York","122776.86"
"76253.86","113867.3","298664.47","California","118474.03"
"78389.47","153773.43","299737.29","New York","111313.02"
"73994.56","122782.75","303319.26","Florida","110352.25"
"67532.53","105751.03","304768.73","Florida","108733.99"
"77044.01","99281.34","140574.81","New York","108552.04"
"64664.71","139553.16","137962.62","California","107404.34"
"75328.87","144135.98","134050.07","Florida","105733.54"
"72107.6","127864.55","353183.81","New York","105008.31"
"66051.52","182645.56","118148.2","Florida","103282.38"
"65605.48","153032.06","107138.38","New York","101004.64"
"61994.48","115641.28","91131.24","Florida","99937.59"
"61136.38","152701.92","88218.23","New York","97483.56"
"63408.86","129219.61","46085.25","California","97427.84"
"55493.95","103057.49","214634.81","Florida","96778.92"
"46426.07","157693.92","210797.67","California","96712.8"
"46014.02","85047.44","205517.64","New York","96479.51"
"28663.76","127056.21","201126.82","Florida","90708.19"
"44069.95","51283.14","197029.42","California","89949.14"
"20229.59","65947.93","185265.1","New York","81229.06"
"38558.51","82982.09","174999.3","California","81005.76"
"28754.33","118546.05","172795.67","California","78239.91"
"27892.92","84710.77","164470.71","Florida","77798.83"
"23640.93","96189.63","148001.11","California","71498.49"
"15505.73","127382.3","35534.17","New York","69758.98"
"22177.74","154806.14","28334.72","California","65200.33"
"1000.23","124153.04","1903.93","New York","64926.08"
"1315.46","115816.21","297114.46","Florida","49490.75"
"0","135426.92","0","California","42559.73"
"542.05","51743.15","0","New York","35673.41"
"0","116983.8","45173.06","California","14681.4"
"165349.20","136897.80","471784.10","New York","192261.83"
"162597.70","151377.59","443898.53","California","191792.06"
"153441.51","101145.55","407934.54","Florida","191050.39"
"144372.41","118671.85","383199.62","New York","182901.99"
"142107.34","91391.77","366168.42","Florida","166187.94"
"131876.90","99814.71","362861.36","New York","156991.12"
"134615.46","147198.87","127716.82","California","156122.51"
"130298.13","145530.06","323876.68","Florida","155752.60"
"120542.52","148718.95","311613.29","New York","152211.77"
"123334.88","108679.17","304981.62","California","149759.96"
"165349.20","136897.80","471784.10","New York","192261.83"
"162597.70","151377.59","443898.53","California","191792.06"
"153441.51","101145.55","407934.54","Florida","191050.39"
"144372.41","118671.85","383199.62","New York","182901.99"
"142107.34","91391.77","366168.42","Florida","166187.94"
"131876.90","99814.71","362861.36","New York","156991.12"
"134615.46","147198.87","127716.82","California","156122.51"
"130298.13","145530.06","323876.68","Florida","155752.60"
"120542.52","148718.95","311613.29","New York","152211.77"
"123334.88","108679.17","304981.62","California","149759.96"
"109669.89","91790.61","249744.55","Florida","146121.95"
"775784.99","52350.9","80389","Washington","1513476.99"
"1122042.99","100415.9","82176","Iowa","2879103.99"
"753705.99","135318.9","119221","Wyoming","2187155.99"
"1081346.99","104034.9","111462","Montana","2129557.99"
"1661861.99","125474.9","106219","Idaho","2626991.99"
"1313644.99","115013.9","43392","Massachusetts","581341.99"
"1445111.99","107952.9","94640","California","387174.99"
"1579216.99","50958.9","97575","Washington","1589647.99"
"1116497.99","110053.9","82921","Arkansas","134901.99"
"709772.99","95324.9","66426","Mississippi","233808.99"
"1669163.99","67254.9","71623","Indiana","299413.99"
"1903510.99","79819.9","101469","Illinois","239037.99"
"1201179.99","52316.9","45498","Louisiana","1750393.99"
"1654682.99","124855.9","56673","Mississippi","665469.99"
"1547195.99","55176.9","106472","Washington","419373.99"
"1346495.99","89709.9","51718","Utah","2232578.99"
"1832172.99","59523.9","67418","Vermont","2245508.99"
"117151.98999999999","121389.9","33288","Nevada","858384.99"
"1295519.99","106251.9","37622","Idaho","2388580.99"
"1711575.99","97299.9","79083","Connecticut","1662113.99"
"1800584.99","131206.9","96302","Washington","2212633.99"
"58249.99","121450.9","63779","Illinois","2773107.99"
"1662821.99","111347.9","78968","Mississippi","2758380.99"
"1984216.99","134284.9","42129","Illinois","2385104.99"
"1512091.99","85478.9","119854","Mississippi","1174263.99"
"1654271.99","68951.9","66941","Louisiana","1993485.99"
"1537783.99","116063.9","33838","Ohio","2933777.99"
"1582837.99","132460.9","105686","Delaware","2691899.99"
"1848578.99","125606.9","75807","Kentucky","1015504.99"
"428588.99","121691.9","94738","Michigan","970840.99"
"1912041.99","132439.9","81226","Virginia","1637394.99"
"1021268.99","81241.9","79473","Idaho","586863.99"
"376431.99","71866.9","69615","Missouri","859121.99"
"1127721.99","61467.9","112405","Missouri","1655145.99"
"1757511.99","61351.9","69894","Washington","1484078.99"
"1172907.99","68409.9","101154","Alaska","2167641.99"
"1506211.99","96731.9","50984","Oregon","2589110.99"
"782843.99","122917.9","44988","Hawaii","359006.99"
"1924554.99","53382.9","76287","Louisiana","2524464.99"
"786949.99","86226.9","117927","Texas","520897.99"
"596736.99","54828.9","116991","Iowa","87874.99"
"661071.99","61617.9","30590","Montana","1736189.99"
"1277692.99","84839.9","77094","Washington","2618856.99"
"76770.98999999999","122173.9","113358","Louisiana","1259190.99"
"1237607.99","94379.9","71075","Montana","2256555.99"
"893005.99","53014.9","73197","Mississippi","629490.99"
"1149973.99","80906.9","94419","Nevada","2564107.99"
"991833.99","66858.9","65021","Michigan","1662457.99"
"814532.99","86203.9","100677","Texas","954222.99"
"868495.99","105685.9","64005","Oregon","765640.99"
"1510231.99","60037.9","44028","Wyoming","721738.99"
"1539046.99","131664.9","69861","Oklahoma","2838170.99"
"1563426.99","72092.9","30545","Illinois","2159484.99"
"408464.99","87226.9","81616","Oklahoma","1250949.99"
"989534.99","73696.9","59152","Alabama","1397050.99"
"1706659.99","137048.9","90330","Louisiana","542567.99"
"1090234.99","112746.9","55117","Missouri","411626.99"
"1240265.99","58710.9","69532","Oregon","2227867.99"
"517737.99","70400.9","30541","Idaho","946537.99"
"988486.99","131645.9","36296","Mississippi","917606.99"
"771423.99","129046.9","40614","Arizona","2942282.99"
"1898414.99","115191.9","87803","Maine","1951631.99"
"182561.99","86746.9","88238","Oregon","2311956.99"
"972534.99","57447.9","65000","Delaware","2922433.99"
"1975518.99","69304.9","106660","Virginia","826946.99"
"426133.99","126042.9","41114","Maryland","1713378.99"
"367596.99","52725.9","78616","Colorado","1813370.99"
"1789337.99","60721.9","117914","Oklahoma","2691584.99"
"1926104.99","125226.9","116396","Oklahoma","2123716.99"
"1769588.99","129933.9","119419","Oregon","1799251.99"
"327306.99","70991.9","84270","Tennessee","2239061.99"
"1768614.99","52141.9","41442","Iowa","731798.99"
"622877.99","102675.9","74392","Oklahoma","2591338.99"
"1564927.99","129550.9","54807","Connecticut","2377103.99"
"1542921.99","59358.9","51112","Utah","2535064.99"
"767013.99","125165.9","62271","Maine","491939.99"
"1281757.99","117275.9","87831","Maine","2946679.99"
"971653.99","72463.9","66502","Louisiana","352955.99"
"963763.99","101418.9","47123","Missouri","1247023.99"
"675145.99","87898.9","101996","Missouri","250970.99"
"377619.99","128096.9","93521","Maine","934324.99"
"1530310.99","83764.9","92229","Kentucky","2339715.99"
"189440.99","134720.9","54263","Wyoming","2024263.99"
"1325060.99","117884.9","69464","Maryland","1133511.99"
"905087.99","105388.9","116151","Maryland","1513242.99"
"1205687.99","132886.9","62168","Pennsylvania","357061.99"
"1831011.99","71497.9","99314","Maine","2409781.99"
"353425.99","61483.9","83905","Ohio","2499388.99"
"1471579.99","134480.9","100528","Georgia","134441.99"
"1869665.99","139938.9","118554","Minnesota","1896355.99"
"131883.99","87447.9","113439","Wyoming","2782326.99"
"634362.99","86621.9","108704","Indiana","2184118.99"
"1874331.99","111443.9","118292","Michigan","1831174.99"
"1674670.99","107310.9","50052","Nebraska","1867711.99"
"287764.99","87968.9","89616","Florida","347593.99"
"193521.99","85399.9","32638","Wisconsin","635061.99"
"1161310.99","50764.9","64134","Texas","1283606.99"
"1314588.99","100486.9","103424","Montana","2177681.99"
"1227466.99","137328.9","102111","Ohio","2472614.99"
"327099.99","70852.9","30228","Florida","2882523.99"
"1420846.99","79539.9","63485","Montana","471661.99"
"1811520.99","106189.9","98677","Louisiana","604010.99"
"1129652.99","82978.9","55502","Oklahoma","2096818.99"
"353912.99","115229.9","101595","Kansas","2161510.99"
"1530299.99","138623.9","111387","Iowa","1637569.99"
"349663.99","85435.9","55477","Wisconsin","606532.99"
"454836.99","89803.9","114574","Pennsylvania","695176.99"
"1774454.99","66246.9","105008","Nebraska","2193925.99"
"430766.99","72450.9","77167","Indiana","2622572.99"
"682450.99","119982.9","90778","Mississippi","1470792.99"
"1873452.99","68891.9","100048","Minnesota","547389.99"
"1565000.99","106917.9","53272","Nebraska","159162.99"
"91257.98999999999","83779.9","40363","Pennsylvania","2809075.99"
"1088269.99","78661.9","101603","Washington","190797.99"
"255860.99","88379.9","57737","Delaware","2715928.99"
"1744185.99","82986.9","92040","Pennsylvania","2422168.99"
"1220381.99","87364.9","34147","Kansas","1153192.99"
"1414192.99","59725.9","38668","Maine","109651.99"
"207272.99","87555.9","66206","Arkansas","1353015.99"
"943395.99","110586.9","118280","Nebraska","1141042.99"
"484931.99","126954.9","119115","Idaho","2091288.99"
"1651177.99","51157.9","45636","Washington","2437672.99"
"280581.99","84113.9","54340","Massachusetts","1922351.99"
"327095.99","109810.9","70987","Wyoming","1016701.99"
"577258.99","110489.9","106890","Utah","1081279.99"
"62911.99","124929.9","111495","Massachusetts","2414626.99"
"1155299.99","51488.9","93013","Alaska","2102288.99"
"1852246.99","94551.9","62784","Wyoming","1166211.99"
"413494.99","120804.9","76250","Georgia","931177.99"
"1477955.99","90880.9","115352","Texas","913819.99"
"285488.99","133076.9","113758","Minnesota","2566559.99"
"1789158.99","139687.9","113419","Florida","1626092.99"
"871738.99","56653.9","112820","Florida","1154271.99"
"131039.98999999999","88689.9","111461","Oklahoma","2106641.99"
"1797174.99","56289.9","112087","Georgia","1340507.99"
"85781.98999999999","72137.9","91081","Ohio","786225.99"
"993777.99","133429.9","119502","Michigan","419013.99"
"850264.99","61500.9","50228","California","2571920.99"
"965645.99","50416.9","31879","Missouri","843320.99"
"1345684.99","116947.9","63356","Massachusetts","82682.99"
"111268.98999999999","77058.9","109064","Vermont","103346.99"
"1239880.99","113657.9","116146","Tennessee","1267055.99"
"1826475.99","77025.9","52234","Idaho","114604.99"
"1979617.99","76381.9","107252","Georgia","1675559.99"
"742430.99","57312.9","49261","Colorado","585763.99"
"822296.99","62994.9","59878","Georgia","1883539.99"
"739095.99","119197.9","107812","Utah","990322.99"
"901313.99","87164.9","87977","Alabama","120362.99"
"142598.99","68585.9","63917","Delaware","730612.99"
"1606788.99","120739.9","65992","Maryland","2760666.99"
"1091617.99","136386.9","84006","Mississippi","2342700.99"
"793672.99","105752.9","69551","Massachusetts","1327523.99"
"232702.99","121384.9","73714","Texas","549596.99"
"239630.99","134743.9","87932","Tennessee","2188822.99"
"1652973.99","86389.9","77156","Hawaii","2219263.99"
"1241406.99","114190.9","53182","Kentucky","988297.99"
"84190.98999999999","87091.9","40147","Michigan","1319668.99"
"1836513.99","104613.9","43241","Pennsylvania","640116.99"
"517360.99","68450.9","116944","Connecticut","1558528.99"
"115854.98999999999","138855.9","77127","Montana","694653.99"
"309817.99","103219.9","49460","Illinois","417902.99"
"113841.98999999999","121760.9","96863","Connecticut","2139157.99"
"944259.99","73430.9","37715","Kansas","2505853.99"
"1449131.99","88678.9","49148","Mississippi","2671311.99"
